Education (At least bachelor's degree) by State
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

State,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 52 states)
"United States",00000,35.0,79954302,"N/A"
"West Virginia",54000,23.3,295541,"52"
"Mississippi",28000,24.2,475997,"51"
"Arkansas",05000,25.1,513221,"50"
"Louisiana",22000,26.6,825794,"49"
"Kentucky",21000,27.0,830856,"48"
"Nevada",32000,27.4,601393,"47"
"Alabama",01000,27.8,957081,"45"
"Oklahoma",40000,27.8,733793,"45"
"Indiana",18000,28.8,1313086,"44"
"Puerto Rico",72001,29.1,702653,"43"
"Wyoming",56000,29.9,118336,"42"
"New Mexico",35000,30.2,438228,"41"
"Tennessee",47000,30.4,1460501,"40"
"Iowa",19000,30.9,660619,"38"
"Ohio",39000,30.9,2514129,"38"
"South Dakota",46000,31.1,185411,"37"
"Alaska",02900,31.2,152432,"35"
"Idaho",16000,31.2,388032,"35"
"South Carolina",45000,31.5,1136208,"34"
"Michigan",26000,31.8,2213104,"33"
"Missouri",29000,31.9,1345230,"32"
"North Dakota",38000,32.3,164378,"31"
"Arizona",04000,32.6,1627462,"30"
"Wisconsin",55000,32.8,1333128,"29"
"Texas",48000,33.1,6381971,"28"
"Florida",12000,33.2,5263931,"27"
"Nebraska",31000,34.1,440234,"26"
"Georgia",13000,34.2,2480907,"25"
"Montana",30000,34.5,266066,"23"
"Pennsylvania",42000,34.5,3157318,"23"
"North Carolina",37000,34.7,2521353,"22"
"Kansas",20000,35.2,679664,"21"
"Delaware",10000,35.3,250626,"19"
"Maine",23000,35.3,359323,"19"
"Hawaii",15000,35.5,364398,"18"
"Oregon",41000,36.2,1094312,"17"
"California",06000,36.5,9834361,"16"
"Utah",49000,36.9,739555,"15"
"Illinois",17000,37.2,3249494,"14"
"Rhode Island",44000,37.3,289667,"13"
"Minnesota",27000,38.8,1513374,"11"
"Washington",53000,38.8,2097154,"11"
"New York",36000,39.6,5535503,"10"
"New Hampshire",33000,39.8,401838,"9"
"Virginia",51000,41.5,2471630,"8"
"Connecticut",09000,41.9,1062403,"7"
"Vermont",50000,42.6,197369,"6"
"Maryland",24000,42.7,1826045,"5"
"New Jersey",34000,42.9,2771686,"4"
"Colorado",08000,44.7,1806355,"3"
"Massachusetts",25000,46.6,2305899,"2"
"District of Columbia",11001,63.6,307906,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 9/24/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education (At least bachelor's degree), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#education."
