Income (Median household income) for Kentucky by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Kentucky",21000,"62,417","45 of 52"
"United States",00000,"78,538","N/A"
"Wolfe County",21237,"29,052","3,136"
"Owsley County",21189,"31,064","3,131"
"Bell County",21013,"32,403","3,124"
"Knox County",21121,"33,153","3,121"
"Magoffin County",21153,"33,632","3,117"
"Lee County",21129,"34,182","3,116"
"Fulton County",21075,"36,834","3,094"
"Harlan County",21095,"37,198","3,087"
"McCreary County",21147,"37,355","3,082"
"Knott County",21119,"37,736","3,079"
"Clay County",21051,"39,607","3,056"
"Cumberland County",21057,"39,662","3,055"
"Powell County",21197,"39,811","3,053"
"Elliott County",21063,"40,074","3,051"
"Leslie County",21131,"40,176","3,048"
"Letcher County",21133,"40,501","3,041"
"Green County",21087,"41,087","3,032"
"Breathitt County",21025,"41,101","3,031"
"Jackson County",21109,"41,410","3,024"
"Floyd County",21071,"41,582","3,019"
"Lewis County",21135,"41,632","3,018"
"Casey County",21045,"41,689","3,016"
"Whitley County",21235,"41,719","3,015"
"Wayne County",21231,"41,933","3,006"
"Clinton County",21053,"42,168","3,000"
"Pike County",21195,"42,179","2,999"
"Johnson County",21115,"43,014","2,977"
"Estill County",21065,"43,905","2,953"
"Menifee County",21165,"44,672","2,923"
"Perry County",21193,"45,261","2,903"
"Lawrence County",21127,"45,584","2,891"
"Martin County",21159,"46,185","2,872"
"Crittenden County",21055,"47,003","2,842"
"Morgan County",21175,"47,493","2,817"
"Rockcastle County",21203,"48,367","2,774"
"Metcalfe County",21169,"48,572","2,760"
"Barren County",21009,"49,171","2,736"
"Monroe County",21171,"49,430","2,723"
"Hart County",21099,"49,653","2,710"
"Fleming County",21069,"49,663","2,707"
"Grayson County",21085,"49,893","2,694"
"Adair County",21001,"50,316","2,664"
"Carter County",21043,"50,389","2,661"
"Russell County",21207,"50,520","2,643"
"Graves County",21083,"50,576","2,641"
"Lincoln County",21137,"50,862","2,625"
"Pulaski County",21199,"50,943","2,617"
"Mason County",21161,"51,473","2,587"
"Calloway County",21035,"51,854","2,570"
"Butler County",21031,"52,003","2,559"
"Robertson County",21201,"52,337","2,530"
"Muhlenberg County",21177,"52,672","2,512"
"Nicholas County",21181,"53,616","2,449"
"Rowan County",21205,"53,657","2,446"
"Breckinridge County",21027,"53,673","2,443"
"Bath County",21011,"54,128","2,410"
"Christian County",21047,"54,190","2,406"
"Ohio County",21183,"54,369","2,392"
"Edmonson County",21061,"54,512","2,384"
"Trigg County",21221,"54,630","2,375"
"Marion County",21155,"55,404","2,323"
"Bourbon County",21017,"56,322","2,250"
"Laurel County",21125,"56,999","2,184"
"Simpson County",21213,"57,392","2,156"
"Montgomery County",21173,"57,468","2,150"
"Hopkins County",21107,"57,610","2,137"
"Caldwell County",21033,"57,618","2,132"
"Carroll County",21041,"57,753","2,124"
"Todd County",21219,"57,759","2,123"
"Henderson County",21101,"58,239","2,091"
"Webster County",21233,"58,786","2,049"
"Allen County",21003,"59,029","2,016"
"Bracken County",21023,"59,521","1,961"
"Greenup County",21089,"59,613","1,954"
"Owen County",21187,"59,706","1,946"
"Livingston County",21139,"59,713","1,945"
"Washington County",21229,"59,762","1,938"
"Boyd County",21019,"60,659","1,850"
"Henry County",21103,"60,736","1,842"
"Union County",21225,"60,989","1,823"
"Logan County",21141,"61,535","1,765"
"Boyle County",21021,"61,635","1,756"
"Taylor County",21217,"61,871","1,733"
"Carlisle County",21039,"62,019","1,715"
"Gallatin County",21077,"62,247","1,702"
"McCracken County",21145,"62,385","1,691"
"Madison County",21151,"62,407","1,689"
"Garrard County",21079,"62,572","1,669"
"Mercer County",21167,"63,115","1,617"
"Harrison County",21097,"63,205","1,602"
"Marshall County",21157,"63,611","1,577"
"Hickman County",21105,"63,750","1,561"
"Lyon County",21143,"64,464","1,507"
"Ballard County",21007,"64,740","1,468"
"Warren County",21227,"64,801","1,458"
"Daviess County",21059,"65,323","1,398"
"Franklin County",21073,"66,470","1,317"
"Pendleton County",21191,"66,601","1,310"
"Hancock County",21091,"66,836","1,295"
"Hardin County",21093,"67,608","1,239"
"Fayette County",21067,"67,631","1,236"
"Larue County",21123,"67,770","1,220"
"Trimble County",21223,"67,813","1,215"
"Clark County",21049,"67,824","1,214"
"Jefferson County",21111,"67,849","1,212"
"Nelson County",21179,"67,888","1,208"
"Grant County",21081,"67,940","1,203"
"Meade County",21163,"70,163","1,044"
"McLean County",21149,"70,549","1,010"
"Anderson County",21005,"71,747","917"
"Jessamine County",21113,"74,886","717"
"Campbell County",21037,"77,271","616"
"Bullitt County",21029,"77,640","596"
"Kenton County",21117,"79,421","528"
"Woodford County",21239,"80,006","506"
"Shelby County",21211,"82,671","430"
"Scott County",21209,"83,660","392"
"Boone County",21015,"94,752","198"
"Spencer County",21215,"98,333","161"
"Oldham County",21185,"121,491","40"

Suggested Citation:
